Value,Unit,Chemical_Gradient,Parameter_Type,Std_Dev,N,Intra,Inter,Organism,Tissue_Type,Context,Injured,Healthy,Signaling_Type,Citation
0.3,μm²/s,Bicoid,Diffusion coefficient,,,Yes,No,Drosophila,Embryonic cytoplasm,FRAP measurement,No,Yes,Morphogen diffusion,Wartlick et al. 2009
100.0,μm,Bicoid,Gradient length scale,,,Yes,No,Drosophila,Embryonic axis,Measured gradient λ,No,Yes,Morphogen gradient,Wartlick et al. 2009
100.0,μm²/s,FGF8,Diffusion coefficient,,,No,Yes,Zebrafish,Extracellular space,Morphogen transport,No,Yes,Morphogen diffusion,Howard 2011
200.0,μm,FGF8,Gradient length scale,,,No,Yes,Zebrafish,Embryonic tissue,Measured gradient length,No,Yes,Morphogen gradient,Howard 2011
5.0,seconds,Calcium,Wave crossing time,,,Yes,No,Mouse,Egg cytoplasm,Initial fertilization wave,No,Yes,Fertilization Ca2+ wave,Machaty 2024
1.0,seconds,Calcium,Wave crossing time,,,Yes,No,Mouse,Egg cytoplasm,Later fertilization waves,No,Yes,Fertilization Ca2+ wave,Machaty 2024
15.0,seconds,Calcium,Spike duration,,,Yes,Yes,Chick embryo,Marginal zone,Primitive streak formation,No,Yes,Developmental Ca2+ spikes,Lee et al. 2024
200.0,μm,Calcium,Wave span distance,,,No,Yes,Chick embryo,Embryonic tissue,Long-distance Ca2+ waves,No,Yes,Long-range Ca2+ wave,Lee et al. 2024
3.0,fold decrease,Cdk1/Cyclins,Wave speed change,,,Yes,No,Drosophila,Embryonic nuclei,Approach to MZT,No,Yes,Mitotic wave,Di Talia 2022
2.0,minutes,Cdk1/Cyclins,Synchrony window,,,Yes,No,Drosophila,Embryonic nuclei,Nuclear division timing,No,Yes,Mitotic synchrony,Di Talia 2022
10.0,μm/s,ATP/ADP,Metabolic wave velocity,,,Yes,Yes,Various cells,Metabolically active cells,Glycolytic oscillations,No,Yes,Metabolic wave,Zhan et al. 2025
1540.0,m/s,Mechanical/acoustic,Acoustic wave velocity,,4.0,Yes,Yes,Zebrafish,Embryonic tissue,Yolk and blastula,No,Yes,Acoustic wave,Titov et al. 2023
